month_th,month,year_be,year,date,date_be,index,ข้าวเปลือกหอมมะลิ(บาท/เมตริกตัน),ข้าวเปลือกเจ้าความชื้น15pc(บาท/เมตริกตัน),ข้าวเปลือกหนียวเมล็ดยาว(บาท/เมตริกตัน),ข้าวเปลือกเหนียวเมล็ดสั้น(บาท/เมตริกตัน),หัวมันสำปะหลัง(บาท/กิโลกรัม),มันเส้น(บาท/กิโลกรัม),อ้อยโรงงาน(บาท/เมตริกตัน),ข้าวโพดเลี้ยงสัตว์(บาท/กิโลกรัม),ยางพารา(บาท/กิโลกรัม)
มี.ค.,3,2543,2000,1/3/00,1/3/00,15,7058,,4314,4045,0.57,1.52,403,4.87,
ก.พ.,2,2543,2000,1/2/00,1/2/00,14,6934,,4324,4028,0.57,1.57,356,4.67,
ม.ค.,1,2543,2000,1/1/00,1/1/00,13,6828,,4343,4129,0.61,1.69,313,4.52,
ธ.ค.,12,2542,1999,1/12/99,1/12/99,12,6699,,4315,4201,0.74,2.09,312,4.4,
พ.ย.,11,2542,1999,1/11/99,1/11/99,11,7566,,4060,3673,0.74,2.19,429,4.22,
ต.ค.,10,2542,1999,1/10/99,1/10/99,10,8266,,4408,4021,0.58,2.16,,3.97,
ก.ย.,9,2542,1999,1/9/99,1/9/99,9,8195,,4939,4491,0.61,2.08,,3.94,
ส.ค.,8,2542,1999,1/8/99,1/8/99,8,7239,,4743,4385,0.68,2.07,,4.2,
ก.ค.,7,2542,1999,1/7/99,1/7/99,7,6842,,4547,4163,0.74,2.18,,4.71,
มิ.ย.,6,2542,1999,1/6/99,1/6/99,6,6408,,4685,4323,0.78,2.03,,4.73,
พ.ค.,5,2542,1999,1/5/99,1/5/99,5,6393,,4792,4397,0.83,1.99,535,4.57,
เม.ย.,4,2542,1999,1/4/99,1/4/99,4,6295,,4789,4436,0.86,1.99,536,4.3,
มี.ค.,3,2542,1999,1/3/99,1/3/99,3,6557,,4990,4649,0.97,1.99,497,4.11,
ก.พ.,2,2542,1999,1/2/99,1/2/99,2,6673,,5235,4919,0.88,1.99,488,3.91,
ม.ค.,1,2542,1999,1/1/99,1/1/99,1,6712,,5586,5298,0.8,1.89,482,3.64,
